cluster_id,business_name,sector,post_type,caption_text,likes_count,comments_count,views_count,engagement_rate,view_rate,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style
3,Orgada Burgers,Cafes/Restaurants,post,🍗✨ صوت القرمشة بناديكم! بوكس اللمة من أورجادا هو الحل المثالي لكل جمعة. دجاج مقرمش، بطاطس ذهبية، وتشكيلة صوصات تخلي كل لقمة حكاية 😄,9.0,0,12000,5.5214700000000005e-05,0.0736196319,0,1,0,0,0,1
3,Shamsboutique,Fashion,reel,"Pov: طقمك الراقي من شمس بوتيك 🌻
متوفر ب 3 ألوان 🌻",0.0,0,1700,0.0,2.300405954,0,1,0,0,0,1
4,Hulk Gym / Diaa Shabaro,Gym,reel,حلقتنا بكرا مع الغالي والحبيب عبدالله تفاحة ترقبونا على اليوتيوب 🔥,201.0,4,10700,0.0852745424,4.4509151414,1,1,0,0,0,1
4,Vanilla Palestine,Cafes/Restaurants,reel,Choose your dessert for tonight 🍰💕 #VANILLA_Today_and_everyday,3308.0,3300,539000,0.0756930126,6.1741122566,1,1,0,0,0,1
4,Hulk Gym / Diaa Shabaro,Gym,reel,حلقتنا اليوم مميزة جداً مع الكابتن علي زيادة رابط الحلقة كامل موجود بالبايو على اليوتيوب حتى تشوفوها كاملة 🔥,129.0,4,4299,0.0553244592,1.7882695507,1,1,0,0,0,1
4,Xtreme Fitness Ramallah,Gym,reel,سألنا كوتش إيهاب وقال المفتاح (بالاستمرارية)! مين مستمر معنا باكستريم بالـ2026؟! حطو اهداف السنة الجديدة من هسا وخلو الجيم جزء منها صبحتك بالألبس~ Special Thanks:@khodrj.photos #newyear #workout #gymlife,245.0,1,24200,0.0549107143,5.4017857143,1,1,0,0,0,1
4,Hulk Gym / Diaa Shabaro,Gym,reel,حلقتنا مع الكابتن نصوح كنعان مشوقة جداً وفيها عبرة 🔥 ومعاني كثيرة 🔥💪 بعد يومين بتنزل على اليوتيوب,126.0,4,6125,0.0540765391,2.5478369384,1,1,0,0,0,1
4,Hulk Gym / Diaa Shabaro,Gym,reel,حلقة الكابتن نصوح كنعان جاهزة على اليوتيوب رابط القناة بالبايو 💛💪🔥,123.0,4,7677,0.052828619,3.1934276206,1,1,0,0,0,1
4,KFC Palestine,Cafes/Restaurants,reel,محبي الطعام أين أنتم؟ 😍 شارك الفيديو مع صاحبك ليعرفك على kfcpalestine خليه يجرب.,2347.0,7,108000,0.039298831400000005,1.8030050083,1,1,0,0,0,1
4,KFC Palestine,Cafes/Restaurants,reel,تشيزرلا.. اطلق العنان لشهيتك 🥰,1298.0,5,42700,0.0217529215,0.7128547579000001,1,1,0,0,0,1
4,aburob,Influencers,reel,مافي مبروك؟ الرابط في البايو #Odoo #OdooMENA #OdooCreatorsClub,115000.0,2350,3900000,0.0205877193,0.6842105263,1,1,0,0,0,1
