min_support,min_confidence,min_lift,max_antecedent_len,frequent_itemsets_count,valid_rules_before_filtering,final_rule_count,high_view_rate_rule_count,avg_lift,max_lift,avg_confidence,max_confidence,avg_confidence_lower_bound,max_confidence_lower_bound
0.05,0.5,1.0,3,158,660,55,0,2.682510371572872,2.9583333333333335,0.906764069264069,1.0,0.49649584039791095,0.6755843804891231
0.05,0.5,1.2,3,158,660,55,0,2.682510371572872,2.9583333333333335,0.906764069264069,1.0,0.49649584039791095,0.6755843804891231
0.05,0.5,1.5,3,158,660,55,0,2.682510371572872,2.9583333333333335,0.906764069264069,1.0,0.49649584039791095,0.6755843804891231
0.05,0.4,2.0,3,158,682,54,0,2.7017509614442496,2.9583333333333335,0.9132679306290414,1.0,0.4994464912518997,0.6755843804891231
0.05,0.5,2.0,3,158,660,54,0,2.7017509614442496,2.9583333333333335,0.9132679306290414,1.0,0.4994464912518997,0.6755843804891231
0.05,0.6,1.0,3,158,469,54,0,2.7017509614442496,2.9583333333333335,0.9132679306290414,1.0,0.4994464912518997,0.6755843804891231
0.05,0.6,1.2,3,158,469,54,0,2.7017509614442496,2.9583333333333335,0.9132679306290414,1.0,0.4994464912518997,0.6755843804891231
0.05,0.6,1.5,3,158,469,54,0,2.7017509614442496,2.9583333333333335,0.9132679306290414,1.0,0.4994464912518997,0.6755843804891231
0.05,0.6,2.0,3,158,469,54,0,2.7017509614442496,2.9583333333333335,0.9132679306290414,1.0,0.4994464912518997,0.6755843804891231
0.05,0.5,1.0,2,125,290,32,0,2.6199629526289687,2.9583333333333335,0.8856212797619047,1.0,0.4999616116487286,0.6755843804891231
0.05,0.5,1.2,2,125,290,32,0,2.6199629526289687,2.9583333333333335,0.8856212797619047,1.0,0.4999616116487286,0.6755843804891231
0.05,0.5,1.5,2,125,290,32,0,2.6199629526289687,2.9583333333333335,0.8856212797619047,1.0,0.4999616116487286,0.6755843804891231
0.05,0.4,2.0,2,125,306,31,0,2.6514611601809173,2.9583333333333335,0.8962685611879161,1.0,0.505213254144413,0.6755843804891231
0.05,0.5,2.0,2,125,290,31,0,2.6514611601809173,2.9583333333333335,0.8962685611879161,1.0,0.505213254144413,0.6755843804891231
